"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1205","should display the correct title in the browser","firefox","Tue Jan 07 16:08:47 GMT 2025","passed","Tue Jan 07 16:08:48 GMT 2025","","quiz.spec.js","",""
"","10923","the one where the quiz has a question and 4 answers","firefox","Tue Jan 07 14:44:03 GMT 2025","passed","Tue Jan 07 14:44:14 GMT 2025","","","",""
"","24","should have a submit button with correct value","chromium","Tue Jan 07 16:08:47 GMT 2025","passed","Tue Jan 07 16:08:47 GMT 2025","","quiz.spec.js","",""
"","27","should have a submit button with correct value","webkit","Tue Jan 07 16:08:50 GMT 2025","passed","Tue Jan 07 16:08:50 GMT 2025","","quiz.spec.js","",""
"","22","should display a question and 4 answer options","chromium","Tue Jan 07 16:08:47 GMT 2025","passed","Tue Jan 07 16:08:47 GMT 2025","","quiz.spec.js","",""
"","11757","the one where the website has a title in the browser","firefox","Tue Jan 07 14:43:56 GMT 2025","passed","Tue Jan 07 14:44:07 GMT 2025","","","",""
"","58","should have a submit button with correct value","firefox","Tue Jan 07 16:08:48 GMT 2025","passed","Tue Jan 07 16:08:48 GMT 2025","","quiz.spec.js","",""
"","58","should display a question and 4 answer options","firefox","Tue Jan 07 16:08:48 GMT 2025","passed","Tue Jan 07 16:08:48 GMT 2025","","quiz.spec.js","",""
"","23","should display a question and 4 answer options","webkit","Tue Jan 07 16:08:50 GMT 2025","passed","Tue Jan 07 16:08:50 GMT 2025","","quiz.spec.js","",""
"","3987","the one where the quiz has a question and 4 answers","webkit","Tue Jan 07 14:44:11 GMT 2025","passed","Tue Jan 07 14:44:15 GMT 2025","","","",""
"","8834","the one where the website has a submit button","firefox","Tue Jan 07 14:44:03 GMT 2025","passed","Tue Jan 07 14:44:12 GMT 2025","","","",""
"","4287","the one where the quiz has a question and 4 answers","chromium","Tue Jan 07 14:43:56 GMT 2025","passed","Tue Jan 07 14:44:00 GMT 2025","","","",""
"","4914","the one where the website has a title in the browser","webkit","Tue Jan 07 14:44:05 GMT 2025","passed","Tue Jan 07 14:44:10 GMT 2025","","","",""
"","1765","the one where the website has a submit button","webkit","Tue Jan 07 14:44:10 GMT 2025","passed","Tue Jan 07 14:44:11 GMT 2025","","","",""
"","4847","the one where the website has a title in the browser","chromium","Tue Jan 07 14:43:56 GMT 2025","passed","Tue Jan 07 14:44:01 GMT 2025","","","",""
"","1181","should display the correct title in the browser","webkit","Tue Jan 07 16:08:49 GMT 2025","passed","Tue Jan 07 16:08:50 GMT 2025","","quiz.spec.js","",""
"","177","should display the correct title in the browser","chromium","Tue Jan 07 16:08:46 GMT 2025","passed","Tue Jan 07 16:08:47 GMT 2025","","quiz.spec.js","",""
"","5214","the one where the website has a submit button","chromium","Tue Jan 07 14:43:56 GMT 2025","passed","Tue Jan 07 14:44:01 GMT 2025","","","",""
